<ROOT>
BECKER SHOES,70 SANFORD FLEMMING DR.,COLLINGWOOD,L9Y 4V7,(705) 445-7490,
CW AND COMPANY,44 CAMPBELL ST.,COLLINGWOOD,L9Y 2K8,(705) 444-2448,
FRASERS CLOTHES SHOPS,P.O. BOX 276,DEEP RIVER,K0J 1P0,(613) 584-4351,
WASAGA PAINTBALL ADVENTURE INC.,3600 VIGO ROAD,ELMVALE,L0L 1P0,(705) 322-6321,
Carol Bond,Osdirect.ca,Georgetown,L7G 5X9,(905) 877-0254,Osdirect.ca
ARGYLL & SUTHERLAND HIGHLANDERS OF CANADA,200 JAMES ST.,HAMILTON,L8R 2L1,(289) 700-4392,
Hamilton Tactical,220 Nebo Rd.,Hamilton,L8W 2E4,(905) 667-4805,
STURGESS CYCLE,Sturgess Cycle,Hamilton,L8P 1C4,(905) 522-0503,
WOOLCOTT'S SHOES,1050 UPPER JAMES ST.,Hamilton,L9C 3A9,(905) 383-2344,
Sole Mates Footwear,5085 Hwy 69 N.,Hanmer,P3P 1N7,(705) 969-6120,
O.P.S. Inc.,160 4th Avenue,Hanover,N4N 2B3,(519) 364-7901,
Suntrail Outfitters Inc,BOX 29  - HWY 6,HEPWORTH,N0H 1P0,(519) 935-2478,
SAS SMITH ARMY SURPLUS,86 PRINCESS STREET,KINGSTON,K7L 1A8,(613) 546-0305,
FACTORY SHOE,686 VICTORIA ST. NORTH,KITCHENER,N2H 5G1,(519) 743-1569,
GRAND VALLEY INSTITUTION FOR WOMEN,1575 HOMER WATSON,KITCHENER,N2P 2C5,(519) 895-8137,
ZDENO CYCLE,1495 Victoria St. N.,Kitchener,N2B 3E4,(519) 745-7010,
BioPed London,607 Wellington Rd. S.,London,N6C 4R3,(519) 686-0709,
Homewood Health Products Inc.,277 Adelaide St. South,London,N5Z 3K7,(519) 642-1164,
TIER 1 TACTICAL,UNIT 84,LONDON,N5Y 4V8,(519) 951-7946,
911 Gear Canada,68 Northside Road,Markham,L6E 1S5,(416) 432-1515,
TACTICAL OPERATIONS,5660 LINE 49,MONKTON,N0K 1P0,,
OTTAWA SAFETY/INDUSTRIAL,190 COLONNADE RD.,NEPEAN,K2E 7J5,(613) 727-0765,
On Duty Equipment Ltd.,926213 North Quarry Road,New Liskeard,P0J 1P0,(705) 563-8009,
Brand Name Shoes,7637 Lundys Lane,Niagara Falls,L2H 1H2,(905) 356-0756,
CFB North Bay,15 MANSTON CRES.,NORTH BAY,P0H 1P0,(705) 494-2011,
S.W.A.T. SHOP,3271 Dufferin St,North York,M6A 2T4,(416) 256-0040,
SGT. SPLATTER'S,54 WINGOLD AVE.,NORTH YORK,M6B 1P5,(416) 781-0991,
NatPat Ltd.,3 - 200 Memorial Avenue,Orillia,L3V 5X6,(866) 797-0458,
VALLEY WORKWEAR,Unit 2,Pembroke,K8A 3M2,(613) 735-8290,
1 RCR KITSHOP,377 MENIN RD BLDG Y-101,PETAWAWA,K8H 2X3,(613) 687-5511,
Full Spectrum Gear Inc.,1158A Victoria St.,Petawawa,K8H 2E7,(613) 687-4757,
ARMY ISSUE SURPLUS,1 STAVEBANK ROAD NORTH,PORT CREDIT,L5G 2T3,(905) 271-1665,
Niagara Quartermaster & Vanwell Distribution Service,PO Box 2131,St. Catharines,L2R 7S2,(800) 661-6136,
TAC-COM DEFENSE,27 Treeview Dr.,St. Jacobs,N0B 2N0,(519) 778-7788,
J & R CYCLE,#8166 HWY 26,STAYNER,L0M 1S0,(705) 429-3822,
Army Outfitters,1695 Avenue Road,Toronto,M5M 3Y3,(647) 436-0876,
Tactical Products Canada,736 Kipling Ave.,Toronto,M8Z 5G5,(416) 252-4000,
